list,left,right,ExpectedResult
"[5,6,2004,-21,40]",0,4,"[-21, 5, 6, 40, 2004]"
"[5,6,2004,-21,40,-3147483649]",0,5,"L?i t?i ô E1 do giá tr? ph?n t? v??t quá s?c ch?a c?a int là -2147483648"
"[5,6,2004,-21,40,3147483647]",0,5,"L?i t?i ô E2 do giá tr? ph?n t? v??t quá s?c ch?a c?a int là 2147483647"
"[5,6,2004,-21,40]",-10,5,"L?i t?i ô E3 do left < 0"
"[5,6,2004,-21,40]",6,5,"[5, 6, 2004, -21, 40]"
"[5,6,2004,-21,40]",0,2147483648,"L?i t?i ô E4 do giá tr? right v??t quá s?c ch?a c?a int là 2147483647"
"[5,6,2004,-21,40,-2147483648]",0,0,"[-2147483647, -21, 5, 6, 40, 2004]"
"[5,6,2004,-21,40,2147483647]",2147483647,2147483647,"[-21, 5, 6, 40, 2004, 2147483647]"
"[5,6,2004,-21,40,-2147483649]",0,10,"L?i t?i ô E5 do giá tr? ph?n t? v??t quá s?c ch?a c?a int là -2147483648"
"[5,6,2004,-21,40,2147483648]",0,10,"L?i t?i ô E6 do giá tr? ph?n t? v??t quá s?c ch?a c?a int là 2147483647"
"[5,6,2004,-21,40]",-1,10,"L?i t?i ô E7 do left < 0"
"[5,6,2004,-21,40]",11,10,"[5, 6, 2004, -21, 40]"
"[5,6,2004,-21,40]",0,2147483648,"L?i t?i ô E8 do giá tr? right v??t quá s?c ch?a c?a int là 2147483647"
