list,left,right,ExpectedResult
"[5,6,2004,-21,40]",0,4,"[-21,5,6,40,2004]"
"[5,6,2004,-21,40,-3147483649]",0,5,"Loi tai o E1 do gia tri phan tu vuot qua suc chua cua int la -2147483648"
"[5,6,2004,-21,40,3147483647]",0,5,"Loi tai o E2 do gia tri phan tu vuot qua suc chua cua int la 2147483647"
"[5,6,2004,-21,40]",-10,5,"Loi tai o E3 do left < 0"
"[5,6,2004,-21,40]",6,5,"[5,6,2004,-21,40]"
"[5,6,2004,-21,40]",0,5147483648,"Loi tai o E4 do gia tri right vuot qua suc chua cua int la 2147483647"
"[5,6,2004,-21,40,-2147483648]",0,5,"[-2147483648,-21,5,6,40,2004]"
"[5,6,2004,-21,40,2147483647]",0,5,"[-21,5,6,40,2004,2147483647]"
"[1]",0,0,"[1]"
"[5,6,2004,-21,40,-2147483649]",0,10,"Loi tai o E5 do gia tri phan tu la gia tri bien loi -2147483649"
"[5,6,2004,-21,40,2147483648]",0,10,"Loi tai o E6 do gia tri phan tu la gia tri bien loi 2147483648"
"[5,6,2004,-21,40]",-1,10,"Loi tai o E7 do left la gia tri bien loi"
"[5,6,2004,-21,40]",11,10,"[5,6,2004,-21,40]"
"[5,6,2004,-21,40]",0,2147483648,"Loi tai o E8 do gia tri right la bien loi 2147483648"
